d7B:  2317947
d6B: +243685
d9B: -243325642
d9H:  279291731
d7H: +2317947
d6H: -243685
d9D:  243325642
d9D: +279291731
d5D: -58957
b31B:  1011100101101011011100111111000
b32B: +01001000011111111000010000101101
b32B: -10101111000011110110100000111011
b31D:  1110100110011110101101111011000
b32D: +01100111100010001111001001111000
b29D: -10001001001011010010010010101
b32H:  00000000011010101111001001110101
b29H: +10001001001011010010010010101
b32H: -01001000011111111000010000101101
h6B:  235E7B
h5B: +3B7E5
h6B: -235E7B
h5D:  3B7E5
h5D: +3B7E5
h7D: -E80DACA
h5H:  3B7E5
h7H: +E80DACA
h4H: -DC58
